order_id,due date,start_time,finish_time,through_put_time,lateness,fitness,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,finished_week,planned_day,finished_day
190,97350,20993.6,23477.7,2484.100000000002,-73872.3,-0.05803956030205223,2,FUSE0,8,FUSE1,8,FUSE2,9,1,1,3,1
191,228443,191950.8,194256.9,2306.100000000006,-34186.100000000006,-0.026859136813690485,2,FUSE0,7,FUSE1,7,FUSE2,8,2,2,8,2
192,418391,350919.6,353150.7,2231.100000000035,-65240.29999999999,-0.01812230555555555,1,FUSE0,7,FUSE1,7,FUSE2,8,3,3,14,3
193,420701,354031.2,356393.9,2362.7000000000116,-64307.09999999998,-0.050524429431601584,2,FUSE0,7,FUSE1,7,FUSE2,6,3,3,14,3
194,410698,332755.6,335204.3,2448.7000000000116,-75493.70000000001,-0.020970472222222224,1,FUSE0,8,FUSE1,8,FUSE2,9,3,3,14,2
195,91733,104080.8,106223.9,2143.0999999999913,14490.899999999994,222.9457529528607,1,FUSE0,7,FUSE1,7,FUSE2,6,1,1,3,4
196,534193,456588.8,459100.3,2511.5,-75092.70000000001,-0.1668726666666667,4,FUSE0,9,FUSE1,9,FUSE2,10,4,4,19,1
197,380602,316836.0,319648.3,2812.2999999999884,-60953.70000000001,-0.016931583333333337,1,FUSE0,10,FUSE1,10,FUSE2,9,3,3,13,2
198,517765,462742.4,464917.9,2175.5,-52847.09999999998,-0.014679749999999993,1,FUSE0,7,FUSE1,7,FUSE2,7,4,4,18,2
199,368964,300816.8,303641.9,2825.100000000035,-65322.09999999998,-0.14516022222222216,4,FUSE0,9,FUSE1,9,FUSE2,9,3,3,13,1
200,199810,161205.2,163584.3,2379.0999999999767,-36225.70000000001,-0.010062694444444449,1,FUSE0,8,FUSE1,8,FUSE2,9,2,2,7,1
201,146705,119198.8,121887.9,2689.0999999999913,-24817.100000000006,-0.006893638888888891,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1,5,5
202,475180,378356.0,380604.7,2248.7000000000116,-94575.29999999999,-0.13650768728422402,3,FUSE0,8,FUSE1,7,FUSE2,8,4,3,16,4
203,366414,306185.6,308634.9,2449.3000000000466,-57779.09999999998,-0.04539554824539515,2,FUSE0,8,FUSE1,8,FUSE2,9,3,3,13,1
204,188553,142825.2,145313.5,2488.2999999999884,-43239.5,-0.03397215962790636,2,FUSE0,10,FUSE1,9,FUSE2,10,2,2,6,1
205,455094,391762.8,394183.1,2420.2999999999884,-60910.90000000002,-0.08791731127895598,3,FUSE0,8,FUSE1,8,FUSE2,7,4,3,16,4
206,129305,39993.4,42565.5,2572.0999999999985,-86739.5,-0.06814898738525615,2,FUSE0,8,FUSE1,8,FUSE2,9,1,1,4,2
207,446254,393173.6,395457.5,2283.9000000000233,-50796.5,-0.014110138888888889,1,FUSE0,8,FUSE1,8,FUSE2,8,3,3,15,4
208,317196,257798.8,260429.1,2630.3000000000175,-56766.899999999994,-0.015768583333333332,1,FUSE0,8,FUSE1,8,FUSE2,9,3,2,11,5
209,200034,126291.2,129053.9,2762.699999999997,-70980.1,-0.055767233376999195,2,FUSE0,10,FUSE1,10,FUSE2,10,2,1,7,5
210,394631,323134.0,325553.1,2419.0999999999767,-69077.90000000002,-0.019188305555555563,1,FUSE0,8,FUSE1,8,FUSE2,8,3,3,13,2
211,518909,444369.6,446723.9,2354.3000000000466,-72185.09999999998,-0.020051416666666662,1,FUSE0,8,FUSE1,8,FUSE2,8,4,4,18,1
212,282902,289614.0,292099.7,2485.7000000000116,9197.700000000012,136.26416551682152,1,FUSE0,8,FUSE1,9,FUSE2,9,2,3,10,1
213,152094,128028.6,130581.1,2552.5,-21512.899999999994,-0.016902130525542305,2,FUSE0,8,FUSE1,8,FUSE2,9,2,1,6,5
214,548014,488149.6,490789.1,2639.5,-57224.90000000002,-0.015895805555555562,1,FUSE0,9,FUSE1,9,FUSE2,8,4,4,19,3
215,115372,92994.6,95697.1,2702.5,-19674.899999999994,-0.005465249999999999,1,FUSE0,10,FUSE1,9,FUSE2,10,1,1,4,4
216,282726,233168.8,235609.9,2441.100000000006,-47116.100000000006,-0.013087805555555557,1,FUSE0,8,FUSE1,8,FUSE2,9,2,2,10,4
217,340311,280459.6,282895.9,2436.3000000000466,-57415.09999999998,-0.015948638888888884,1,FUSE0,8,FUSE1,8,FUSE2,8,3,2,12,5
218,486282,486164.8,511659.5,25494.70000000001,25377.5,422.5702600903729,1,FUSE0,8,FUSE1,8,FUSE2,9,4,4,17,3
219,376710,299536.8,301867.5,2330.7000000000116,-74842.5,-0.23243460778615002,5,FUSE0,8,FUSE1,8,FUSE2,9,3,3,13,1
